"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
13 FrontDG0175 -22.5778 -5.7216 2.93e-17 2.272e-17 8.11e-18 167.0159 -1637.86 72.8882444362907
14 FrontDG0176 -22.5094 -5.6778 1.025e-17 8.852e-18 4.122e-18 42.9704 -1637.84 72.8882444362907
15 FrontDG0177 -22.4463 -5.6812 9.696e-18 8.87e-18 4.048e-18 45.651 -1637.62 72.8882444362907
16 FrontDG0178 -22.4924 -5.5815 1.062e-17 8.518e-18 3.79e-18 49.224 -1637.49 72.8882444362907
17 FrontDG0179 -22.6242 -5.7714 6.752e-18 5.307e-18 2.567e-18 81.8845 -1637.61 72.8882444362907
18 FrontDG0180 -22.4543 -5.6963 1.071e-17 8.025e-18 4.238e-18 47.6504 -1637.84 72.8882444362907
20 FrontDG0182 -22.4985 -5.6662 9.77e-18 7.126e-18 3.687e-18 46.4445 -1637.45 72.8882444362907
21 FrontDG0183 -22.5093 -5.7296 1.528e-17 1.142e-17 5.426e-18 40.1524 -1637.75 72.8882444362907
22 FrontDG0184 -22.6547 -5.8016 1.04e-17 9.661e-18 4.361e-18 46.206 -1637.72 72.8882444362907
23 FrontDG0185 -22.5189 -5.5429 1.095e-17 9.811e-18 4.207e-18 44.7233 -1637.56 72.8882444362907
24 FrontDG0186 -22.5511 -5.7651 1.095e-17 8.068e-18 4.597e-18 39.3487 -1637.7 72.8882444362907
