"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
41 BottomDG0290 10.193 -40.9454 2.382e-17 1.762e-17 6.849e-18 93.3329 -1792.75 4.145115513122031
43 BottomDG0292 10.0687 -41.2309 8.165e-18 7.883e-18 3.561e-18 40.4519 -1793.3 4.145115513122031
44 BottomDG0293 10.0547 -41.2485 9.091e-18 8.018e-18 3.517e-18 46.3979 -1793.2 4.145115513122031
45 BottomDG0294 10.2894 -40.7652 8.273e-18 6.739e-18 3.098e-18 41.2248 -1793.05 4.145115513122031
46 BottomDG0295 10.3746 -41.0781 6.887e-18 5.336e-18 2.684e-18 75.7623 -1793.1 4.145115513122031
47 BottomDG0296 10.3702 -41.1369 5.304e-18 4.85e-18 2.224e-18 51.2631 -1793.05 4.145115513122031
48 BottomDG0297 10.3567 -41.369 5.669e-18 4.405e-18 2.518e-18 52.4997 -1792.78 4.145115513122031
49 BottomDG0298 10.1368 -40.7779 8.726e-18 7.575e-18 3.245e-18 46.5243 -1793.11 4.145115513122031
50 BottomDG0299 10.0973 -40.7496 9.434e-18 7.575e-18 3.335e-18 46.3098 -1793.06 4.145115513122031
51 BottomDG0300 10.3173 -41.1467 8.838e-18 7.343e-18 3.302e-18 34.4366 -1793.06 4.145115513122031
52 BottomDG0301 10.1898 -40.6029 8.281e-18 7.444e-18 3.506e-18 47.3094 -1793.06 4.145115513122031
53 BottomDG0302 10.1448 -40.7443 8.271e-18 6.917e-18 3.425e-18 33.7611 -1793.05 4.145115513122031
54 BottomDG0303 10.1699 -40.8397 5.482e-18 5.024e-18 2.141e-18 83.366 -1792.82 4.145115513122031
55 BottomDG0304 10.0985 -41.1963 8.364e-18 7.253e-18 3.133e-18 40.955 -1793.11 4.145115513122031
56 BottomDG0305 10.17 -40.8239 8.863e-18 7.394e-18 3.402e-18 49.8245 -1792.83 4.145115513122031
57 BottomDG0306 10.1773 -40.6775 8.315e-18 6.774e-18 3.032e-18 39.3568 -1793.16 4.145115513122031
58 BottomDG0307 10.469 -41.121 5.668e-18 4.307e-18 2.001e-18 49.7911 -1792.73 4.145115513122031
59 BottomDG0308 9.9604 -40.723 8.579e-18 7.96e-18 3.465e-18 42.7092 -1793.11 4.145115513122031
60 BottomDG0309 10.3483 -41.088 5.734e-18 4.754e-18 2.519e-18 44.4029 -1792.81 4.145115513122031
61 BottomDG0310 10.3867 -40.9839 5.268e-18 4.879e-18 2.333e-18 37.1194 -1793.06 4.145115513122031
