"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
91 BackDG0333 25.2302 0.7451 5.89e-17 4.738e-17 1.494e-17 193.051 -1092.03 40.16916139398249
92 BackDG0334 25.6484 0.7124 2.14e-17 1.934e-17 8.491e-18 82.1411 -1092.42 40.16916139398249
93 BackDG0335 25.3363 0.8422 1.405e-17 1.159e-17 5.324e-18 75.8026 -1092.24 40.16916139398249
94 BackDG0336 25.3184 0.5637 1.721e-17 1.322e-17 6.24e-18 118.447 -1092.62 40.16916139398249
95 BackDG0337 25.298 0.7414 1.937e-17 1.738e-17 8.009e-18 66.6718 -1092.38 40.16916139398249
96 BackDG0338 25.1971 0.6905 2.775e-17 2.381e-17 8.321e-18 62.3611 -1092.24 40.16916139398249
98 BackDG0340 25.4939 0.8409 1.871e-17 1.666e-17 7.287e-18 62.2712 -1092.43 40.16916139398249
99 BackDG0341 25.5172 0.659 2.127e-17 1.958e-17 8.623e-18 74.7585 -1092.54 40.16916139398249
100 BackDG0342 25.2112 0.4186 2.155e-17 1.888e-17 8.04e-18 70.4411 -1092.36 40.16916139398249
101 BackDG0343 25.1577 0.4476 2.03e-17 1.641e-17 7.229e-18 58.8096 -1092.4 40.16916139398249
102 BackDG0344 25.4591 0.8263 2.212e-17 1.75e-17 8.113e-18 69.9204 -1092.38 40.16916139398249
103 BackDG0345 25.281 0.6744 2.167e-17 1.874e-17 7.477e-18 66.1748 -1092.5 40.16916139398249
104 BackDG0346 25.4119 0.6546 1.467e-17 1.139e-17 5.915e-18 100.0925 -1092.48 40.16916139398249
105 BackDG0347 25.3708 0.78 2.032e-17 1.647e-17 7.885e-18 60.6358 -1092.46 40.16916139398249
106 BackDG0348 25.5016 0.77 2.107e-17 1.83e-17 8.237e-18 67.7207 -1092.02 40.16916139398249
107 BackDG0349 25.3871 0.7039 2.182e-17 1.782e-17 8.514e-18 68.8771 -1092.1 40.16916139398249
108 BackDG0350 25.3807 1.1133 3.083e-17 2.221e-17 9.165e-18 60.1874 -1092.21 40.16916139398249
