"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
20 RightDG0029 -9.0931 -5.9637 3.357e-17 2.753e-17 8.851e-18 141.4937 -1504.81 36.0950811378051
21 RightDG0030 -9.0932 -6.0342 1.341e-17 1.023e-17 4.463e-18 51.8627 -1505.07 36.0950811378051
22 RightDG0031 -9.0982 -5.8901 1.302e-17 1.109e-17 4.945e-18 54.2295 -1504.8 36.0950811378051
23 RightDG0032 -8.9544 -5.9574 1.193e-17 1.023e-17 4.525e-18 59.9145 -1505.41 36.0950811378051
24 RightDG0033 -9.2177 -5.8764 1.315e-17 1.029e-17 4.837e-18 50.982 -1504.85 36.0950811378051
25 RightDG0034 -9.1807 -6.0844 1.277e-17 1.08e-17 5.112e-18 50.0068 -1504.74 36.0950811378051
26 RightDG0035 -8.9483 -5.9385 1.174e-17 8.86e-18 4.422e-18 49.4652 -1505.3 36.0950811378051
27 RightDG0036 -9.1998 -6.0526 1.129e-17 9.508e-18 4.561e-18 46.0539 -1504.87 36.0950811378051
28 RightDG0037 -9.1839 -5.9897 1.16e-17 9.859e-18 4.289e-18 46.7751 -1504.89 36.0950811378051
29 RightDG0038 -9.0086 -6.1029 8.304e-18 7.208e-18 3.236e-18 58.381 -1505.19 36.0950811378051
30 RightDG0039 -9.285 -5.9078 1.277e-17 1.053e-17 4.914e-18 48.3472 -1505.04 36.0950811378051
31 RightDG0040 -8.9876 -6.0021 1.158e-17 1.063e-17 4.701e-18 47.7249 -1505.18 36.0950811378051
32 RightDG0041 -9.2177 -6.1179 1.231e-17 1.056e-17 4.094e-18 63.7724 -1505.06 36.0950811378051
