"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
94 FrontDG0537 5.8215 12.3901 3.644e-17 2.655e-17 9.329e-18 93.0593 -1425.97 64.427482738347
95 FrontDG0538 5.7275 12.259 1.12e-17 9.941e-18 4.385e-18 43.7577 -1425.69 64.427482738347
96 FrontDG0539 5.6735 12.5073 1.319e-17 1.112e-17 4.846e-18 59.5324 -1425.93 64.427482738347
97 FrontDG0540 5.7993 12.492 1.183e-17 9.667e-18 4.241e-18 49.2572 -1425.7 64.427482738347
98 FrontDG0541 5.7181 12.2566 1.255e-17 9.657e-18 4.62e-18 35.8227 -1426.04 64.427482738347
99 FrontDG0542 5.863 12.4718 1.216e-17 9.903e-18 4.316e-18 49.7668 -1426.05 64.427482738347
100 FrontDG0543 5.7967 12.2361 1.203e-17 1.035e-17 4.754e-18 56.1535 -1426.2 64.427482738347
101 FrontDG0544 6.006 12.4427 1.314e-17 1.029e-17 4.528e-18 43.508 -1426.16 64.427482738347
102 FrontDG0545 6.0071 12.5269 1.628e-17 1.383e-17 5.762e-18 47.2281 -1425.57 64.427482738347
103 FrontDG0546 5.8712 12.2761 1.347e-17 1.085e-17 5.065e-18 47.2206 -1425.71 64.427482738347
104 FrontDG0547 5.6469 12.3197 1.126e-17 1.012e-17 4.485e-18 45.5548 -1426.35 64.427482738347
105 FrontDG0548 5.8333 12.1741 1.713e-17 1.487e-17 5.533e-18 52.3373 -1425.84 64.427482738347
106 FrontDG0549 5.7102 12.3357 1.172e-17 9.832e-18 4.746e-18 59.5612 -1426.16 64.427482738347
