"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
132 BottomDG0913 11.366 -17.6707 5.028e-17 3.791e-17 1.446e-17 111.2496 -1176.84 6.061600562517619
133 BottomDG0914 11.4732 -17.6677 2.817e-17 2.126e-17 8.291e-18 56.3365 -1177.02 6.061600562517619
134 BottomDG0915 11.3061 -17.6683 1.393e-17 1.145e-17 5.544e-18 68.0267 -1176.97 6.061600562517619
135 BottomDG0916 11.5052 -17.5055 2.01e-17 1.56e-17 6.994e-18 68.6438 -1176.8 6.061600562517619
136 BottomDG0917 11.6143 -17.8335 2.181e-17 1.642e-17 7.705e-18 59.7362 -1176.72 6.061600562517619
137 BottomDG0918 11.4158 -17.479 1.973e-17 1.775e-17 7.747e-18 59.2683 -1177.07 6.061600562517619
138 BottomDG0919 11.2765 -17.5829 1.324e-17 1.026e-17 4.694e-18 78.0585 -1177.15 6.061600562517619
139 BottomDG0920 11.5046 -17.6055 2.203e-17 1.631e-17 7.907e-18 64.8373 -1176.74 6.061600562517619
140 BottomDG0921 11.196 -17.674 1.903e-17 1.733e-17 7.309e-18 66.3894 -1177.04 6.061600562517619
141 BottomDG0922 11.4362 -17.7981 1.764e-17 1.564e-17 6.689e-18 60.2561 -1177.01 6.061600562517619
142 BottomDG0923 11.3798 -17.6755 1.769e-17 1.454e-17 5.98e-18 62.5852 -1176.92 6.061600562517619
143 BottomDG0924 11.5271 -17.6572 1.992e-17 1.565e-17 7.552e-18 74.8677 -1177.13 6.061600562517619
