"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
199 BackDG0781 -3.2308 -15.5844 4.442e-17 3.332e-17 1.167e-17 120.4902 -1328.03 26.262285618317026
200 BackDG0782 -3.2071 -15.6066 1.419e-17 1.223e-17 6.08e-18 48.1955 -1328.32 26.262285618317026
201 BackDG0783 -3.4292 -15.4994 1.826e-17 1.369e-17 6.604e-18 56.5813 -1328.37 26.262285618317026
202 BackDG0784 -3.4619 -15.6538 1.651e-17 1.553e-17 6.17e-18 55.2792 -1328.23 26.262285618317026
203 BackDG0785 -3.1939 -15.637 1.483e-17 1.213e-17 5.608e-18 52.6026 -1328.09 26.262285618317026
204 BackDG0786 -3.193 -15.6715 1.61e-17 1.321e-17 5.681e-18 75.3348 -1328.13 26.262285618317026
205 BackDG0787 -3.2727 -15.7633 1.524e-17 1.229e-17 5.033e-18 53.8755 -1327.99 26.262285618317026
206 BackDG0788 -3.143 -15.4847 1.583e-17 1.405e-17 6.07e-18 66.8403 -1328.13 26.262285618317026
207 BackDG0789 -3.0271 -15.4269 1.516e-17 1.169e-17 6.016e-18 50.4332 -1328.18 26.262285618317026
208 BackDG0790 -3.3037 -15.6625 1.46e-17 1.174e-17 5.529e-18 51.9328 -1327.86 26.262285618317026
209 BackDG0791 -3.226 -15.4757 1.575e-17 1.201e-17 5.914e-18 52.9702 -1327.69 26.262285618317026
210 BackDG0792 -3.1633 -15.4972 1.395e-17 1.253e-17 5.764e-18 56.0709 -1328.33 26.262285618317026
211 BackDG0793 -3.1473 -15.694 1.671e-17 1.302e-17 6.343e-18 55.2196 -1327.88 26.262285618317026
212 BackDG0794 -3.3179 -15.5705 1.483e-17 1.282e-17 5.634e-18 47.9648 -1328.0 26.262285618317026
