"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
152 BottomDG1048 -14.1931 -7.5841 3.01e-17 2.5e-17 8.362e-18 139.3233 -1637.74 29.62547179153053
153 BottomDG1049 -13.9273 -7.7097 9.374e-18 8.414e-18 3.749e-18 44.6847 -1637.9 29.62547179153053
154 BottomDG1050 -14.3503 -7.7285 1.036e-17 8.729e-18 4.142e-18 52.4431 -1637.81 29.62547179153053
155 BottomDG1051 -14.3779 -7.4288 1.079e-17 8.842e-18 4.219e-18 42.1525 -1637.89 29.62547179153053
156 BottomDG1052 -13.9674 -7.5062 1.019e-17 8.904e-18 3.655e-18 35.8068 -1637.77 29.62547179153053
157 BottomDG1053 -14.0512 -7.3065 1.037e-17 8.832e-18 3.829e-18 41.8816 -1638.04 29.62547179153053
158 BottomDG1054 -14.1925 -7.4638 1.55e-17 1.236e-17 5.367e-18 44.1526 -1637.89 29.62547179153053
159 BottomDG1055 -14.2504 -7.7702 7.587e-18 5.723e-18 2.799e-18 71.4692 -1638.35 29.62547179153053
160 BottomDG1056 -14.5123 -7.6222 1.409e-17 1.087e-17 5.334e-18 40.1801 -1638.27 29.62547179153053
161 BottomDG1057 -14.2289 -7.3741 1.031e-17 8.689e-18 3.846e-18 49.439 -1638.19 29.62547179153053
162 BottomDG1058 -13.9488 -7.6892 1.162e-17 1.017e-17 4.221e-18 51.0024 -1637.93 29.62547179153053
163 BottomDG1059 -13.9897 -7.773 1.102e-17 1.001e-17 4.161e-18 49.7714 -1637.91 29.62547179153053
164 BottomDG1060 -14.458 -7.6881 9.737e-18 8.447e-18 3.806e-18 45.0012 -1638.13 29.62547179153053
165 BottomDG1061 -14.1419 -7.6316 9.982e-18 9.034e-18 3.739e-18 49.689 -1638.32 29.62547179153053
166 BottomDG1062 -13.8805 -7.4041 1.009e-17 8.89e-18 3.824e-18 41.7753 -1638.21 29.62547179153053
167 BottomDG1063 -14.4657 -7.5959 1.125e-17 1.081e-17 4.648e-18 56.7848 -1638.26 29.62547179153053
168 BottomDG1064 -13.8469 -7.5236 1.026e-17 8.921e-18 4.371e-18 49.6942 -1637.86 29.62547179153053
169 BottomDG1065 -14.2991 -7.5823 7.979e-18 5.684e-18 2.661e-18 71.5489 -1638.14 29.62547179153053
170 BottomDG1066 -14.1025 -7.7236 1.118e-17 8.891e-18 4.378e-18 48.8663 -1638.37 29.62547179153053
171 BottomDG1067 -14.1967 -7.3733 1.076e-17 9.101e-18 4.169e-18 47.1009 -1638.09 29.62547179153053
172 BottomDG1068 -14.2102 -7.323 7.829e-18 6.261e-18 2.994e-18 48.5718 -1638.02 29.62547179153053
