"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
0 RightDG0001 15.4102 -10.283 5.974e-17 4.12e-17 1.313e-17 166.0737 -1141.59 60.119025691633176
1 RightDG0002 15.6992 -10.2528 2.125e-17 1.919e-17 7.515e-18 77.2629 -1141.71 60.119025691633176
2 RightDG0003 15.1618 -10.469 2.076e-17 1.811e-17 7.87e-18 71.9955 -1141.43 60.119025691633176
3 RightDG0004 15.4558 -9.9432 2.88e-17 2.338e-17 8.901e-18 61.9725 -1141.48 60.119025691633176
4 RightDG0005 15.0215 -10.2432 1.791e-17 1.491e-17 6.987e-18 57.2103 -1141.54 60.119025691633176
5 RightDG0006 15.4053 -9.9515 2.03e-17 1.694e-17 8.325e-18 73.3344 -1141.6 60.119025691633176
6 RightDG0007 15.3822 -10.1654 1.937e-17 1.614e-17 7.489e-18 61.6089 -1141.59 60.119025691633176
7 RightDG0008 15.4223 -10.4397 1.901e-17 1.55e-17 6.726e-18 65.1276 -1141.48 60.119025691633176
8 RightDG0009 15.5925 -10.0304 2.139e-17 1.702e-17 7.711e-18 58.5621 -1141.32 60.119025691633176
9 RightDG0010 15.0678 -10.2326 1.314e-17 1.053e-17 4.843e-18 84.823 -1141.44 60.119025691633176
10 RightDG0011 15.5903 -10.3206 1.898e-17 1.819e-17 7.103e-18 73.3523 -1141.39 60.119025691633176
11 RightDG0012 14.8931 -10.3855 1.896e-17 1.551e-17 6.718e-18 51.2439 -1141.77 60.119025691633176
12 RightDG0013 15.2079 -10.3944 1.321e-17 1.1e-17 5.096e-18 101.0884 -1141.45 60.119025691633176
13 RightDG0014 15.2394 -10.1291 1.292e-17 1.118e-17 5.468e-18 102.2916 -1141.63 60.119025691633176
14 RightDG0015 15.6294 -9.9258 2.996e-17 2.178e-17 1.012e-17 69.526 -1141.79 60.119025691633176
15 RightDG0016 15.4001 -10.0329 2.222e-17 1.878e-17 7.985e-18 74.598 -1141.26 60.119025691633176
16 RightDG0017 15.1766 -10.3066 2.897e-17 2.163e-17 9.202e-18 60.8565 -1141.67 60.119025691633176
17 RightDG0018 15.2418 -10.4538 2.97e-17 2.263e-17 9.08e-18 69.5086 -1141.85 60.119025691633176
18 RightDG0019 15.5531 -10.2355 2.694e-17 1.89e-17 8.632e-18 51.6221 -1141.49 60.119025691633176
19 RightDG0020 15.521 -10.4619 1.517e-17 1.26e-17 5.696e-18 110.0377 -1141.73 60.119025691633176
