"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
163 RightDG0679 11.8556 -7.7319 3.048e-17 2.321e-17 9.322e-18 69.4121 -1137.23 36.104710599988195
164 RightDG0680 11.5193 -7.6503 1.445e-17 1.18e-17 5.413e-18 142.2313 -1137.3 36.104710599988195
165 RightDG0681 11.7884 -7.9349 1.321e-17 1.054e-17 5.057e-18 80.6149 -1137.38 36.104710599988195
169 RightDG0685 11.633 -7.5084 1.554e-17 1.218e-17 4.824e-18 96.4248 -1137.32 36.104710599988195
170 RightDG0686 11.7341 -7.8402 1.705e-17 1.285e-17 5.942e-18 97.842 -1137.34 36.104710599988195
175 RightDG0691 11.3318 -7.7471 2.171e-17 1.801e-17 8.377e-18 69.729 -1137.37 36.104710599988195
176 RightDG0692 11.6786 -7.7913 1.556e-17 1.3e-17 5.496e-18 125.7344 -1137.57 36.104710599988195
177 RightDG0693 11.7653 -8.1136 2.002e-17 1.503e-17 6.926e-18 57.1701 -1137.3 36.104710599988195
178 RightDG0694 11.5247 -7.8254 2.828e-17 2.279e-17 9.709e-18 68.9951 -1137.36 36.104710599988195
179 RightDG0695 11.6067 -7.8001 1.421e-17 1.219e-17 5.193e-18 67.6352 -1137.56 36.104710599988195
