"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
69 RightDG0389 -20.9882 22.8302 2.799e-17 2.31e-17 7.977e-18 110.6849 -1630.95 22.88360565702393
70 RightDG0390 -20.8962 22.9503 1.168e-17 8.728e-18 4.184e-18 41.7594 -1630.83 22.88360565702393
71 RightDG0391 -21.1087 23.0165 1.17e-17 9.543e-18 4.201e-18 50.3278 -1630.95 22.88360565702393
72 RightDG0392 -20.8376 22.9472 1.135e-17 8.946e-18 4.137e-18 54.8451 -1630.96 22.88360565702393
73 RightDG0393 -21.1674 22.7738 1.096e-17 9.225e-18 4.155e-18 46.8414 -1630.77 22.88360565702393
74 RightDG0394 -20.6919 22.7827 1.114e-17 9.279e-18 4.007e-18 42.5432 -1631.04 22.88360565702393
75 RightDG0395 -20.8608 22.717 7.994e-18 6.769e-18 3.078e-18 74.3745 -1630.84 22.88360565702393
76 RightDG0396 -20.933 22.8845 7.263e-18 5.922e-18 2.387e-18 89.2733 -1630.89 22.88360565702393
77 RightDG0397 -20.9562 23.129 1.087e-17 9.654e-18 4.398e-18 40.802 -1631.13 22.88360565702393
78 RightDG0398 -20.9608 22.6171 1.034e-17 8.95e-18 3.888e-18 52.07 -1630.81 22.88360565702393
79 RightDG0399 -20.9364 22.8121 8.253e-18 6.683e-18 2.887e-18 80.1489 -1630.9 22.88360565702393
80 RightDG0400 -20.7477 22.7703 1.151e-17 9.528e-18 4.107e-18 48.4219 -1630.67 22.88360565702393
81 RightDG0401 -20.6668 22.7663 1.077e-17 8.492e-18 3.621e-18 43.19 -1630.87 22.88360565702393
82 RightDG0402 -21.0014 22.9932 9.077e-18 9.018e-18 3.817e-18 45.1814 -1630.64 22.88360565702393
83 RightDG0403 -20.8899 23.0586 1.036e-17 8.456e-18 4.033e-18 34.9384 -1630.98 22.88360565702393
