"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
268 BackDG1238 2.5903 -16.4777 3.607e-17 2.743e-17 9.424e-18 166.7897 -1443.02 23.088238768560274
269 BackDG1239 2.7013 -16.5789 1.246e-17 1.035e-17 4.748e-18 47.0456 -1442.87 23.088238768560274
270 BackDG1240 2.6486 -16.364 1.234e-17 1.079e-17 5.365e-18 53.9809 -1443.37 23.088238768560274
271 BackDG1241 2.5241 -16.5192 1.26e-17 1.088e-17 5.131e-18 48.69 -1443.17 23.088238768560274
272 BackDG1242 2.7026 -16.5323 1.141e-17 1.019e-17 4.429e-18 45.7286 -1443.17 23.088238768560274
273 BackDG1243 2.4419 -16.4637 1.198e-17 1.013e-17 3.983e-18 39.7708 -1442.98 23.088238768560274
274 BackDG1244 2.7038 -16.5897 1.294e-17 1.004e-17 4.732e-18 41.4958 -1443.26 23.088238768560274
275 BackDG1245 2.4527 -16.5013 1.299e-17 1.164e-17 5.135e-18 61.1839 -1443.24 23.088238768560274
276 BackDG1246 2.6909 -16.4834 8.625e-18 7.59e-18 3.355e-18 53.3001 -1442.89 23.088238768560274
277 BackDG1247 2.4263 -16.5199 1.151e-17 9.855e-18 4.426e-18 55.1017 -1443.33 23.088238768560274
278 BackDG1248 2.5558 -16.4101 8.537e-18 6.795e-18 3.569e-18 50.1828 -1443.05 23.088238768560274
