"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
79 BackDG0321 3.9339 27.4776 3.145e-17 2.27e-17 8.89e-18 102.3689 -1522.0 65.42238702055293
80 BackDG0322 3.8656 27.3135 8.495e-18 6.406e-18 3.007e-18 45.6781 -1522.03 65.42238702055293
81 BackDG0323 3.8209 27.544 1.192e-17 8.542e-18 3.948e-18 48.7532 -1521.87 65.42238702055293
82 BackDG0324 3.9305 27.3605 1.072e-17 8.618e-18 4.238e-18 46.1492 -1521.87 65.42238702055293
83 BackDG0325 4.0223 27.2568 1.196e-17 9.693e-18 4.694e-18 44.0204 -1521.69 65.42238702055293
84 BackDG0326 3.7253 27.6185 1.219e-17 8.579e-18 4.004e-18 42.1859 -1522.02 65.42238702055293
85 BackDG0327 4.091 27.5005 1.273e-17 9.731e-18 4.04e-18 48.3182 -1521.86 65.42238702055293
86 BackDG0328 3.9901 27.4341 1.028e-17 1.006e-17 4.447e-18 38.4789 -1521.77 65.42238702055293
87 BackDG0329 3.8819 27.5078 1.052e-17 9.519e-18 4.276e-18 42.7955 -1522.0 65.42238702055293
88 BackDG0330 3.9704 27.3 1.062e-17 8.614e-18 4.057e-18 40.8961 -1521.6 65.42238702055293
89 BackDG0331 4.0737 27.6172 1.204e-17 1.102e-17 4.723e-18 52.2046 -1522.02 65.42238702055293
90 BackDG0332 3.7897 27.5737 1.065e-17 9.02e-18 4.184e-18 45.4009 -1522.18 65.42238702055293
