"Unnamed: 0" Name X Y BlueF GreenF RedF Size RadialVelocity Radius
183 FrontDG1133 13.7825 -19.8527 3.143e-17 2.803e-17 8.72e-18 140.8969 -1589.19 40.86851405348217
184 FrontDG1134 13.839 -19.6649 1.029e-17 9.007e-18 4.008e-18 47.6799 -1589.36 40.86851405348217
185 FrontDG1135 13.5932 -19.8564 1.411e-17 1.035e-17 4.997e-18 51.218 -1589.45 40.86851405348217
186 FrontDG1136 13.7112 -20.0658 9.773e-18 9.182e-18 4.369e-18 47.5111 -1589.48 40.86851405348217
187 FrontDG1137 13.6329 -19.7182 1.052e-17 9.099e-18 4.461e-18 41.2076 -1589.46 40.86851405348217
188 FrontDG1138 13.9567 -19.903 1.171e-17 1.035e-17 4.177e-18 53.3191 -1589.31 40.86851405348217
189 FrontDG1139 13.5896 -19.7699 1.116e-17 9.526e-18 4.199e-18 47.6717 -1589.71 40.86851405348217
190 FrontDG1140 14.0098 -19.7904 1.643e-17 1.328e-17 5.101e-18 46.6677 -1589.47 40.86851405348217
191 FrontDG1141 13.7171 -19.7087 1.296e-17 1.062e-17 4.254e-18 66.6767 -1589.35 40.86851405348217
192 FrontDG1142 13.6917 -19.6842 1.163e-17 1.106e-17 4.605e-18 51.1138 -1589.56 40.86851405348217
193 FrontDG1143 13.7375 -19.8348 7.451e-18 5.621e-18 3.045e-18 94.6334 -1589.52 40.86851405348217
