Time,NormalisedFlux
0.0,0.9573527294364581
1.0,1.0113884463858192
2.0,1.0766200509799984
3.0,1.0722304480402343
4.0,1.0708567491106114
5.0,1.083802235967575
6.0,1.03301098931458
7.0,1.019950868495845
8.0,1.0289941607473436
9.0,0.9962170606322376
10.0,1.0104222197303823
11.0,1.0074701350751767
12.0,1.0046149324955298
13.0,0.9679403357904802
14.0,0.9420150774061975
15.0,0.9562326757693523
16.0,0.9170198843250493
17.0,0.9098918614321825
18.0,0.90749321176278
19.0,0.9603850612654579
20.0,1.04564392327959
21.0,1.0825770505556267
22.0,1.0818731116763125
23.0,1.0506132218334543
24.0,1.032178957811314
25.0,1.0273312837167368
26.0,1.029432205944222
27.0,1.0059435447717637
28.0,1.0018955924343025
29.0,1.0007540722881074
30.0,0.9829308335871636
31.0,0.9571223118741177
32.0,0.9740812193719058
33.0,0.940490947990672
34.0,0.9500705288994049
35.0,0.9374547303885336
36.0,0.9010531570201812
37.0,0.8892344522933312
38.0,1.0024193566727206
39.0,1.0345217898946097
40.0,1.094069951960466
41.0,1.0633667387928376
42.0,1.0417077588693282
43.0,1.0138200162666062
44.0,1.0702455226708198
45.0,1.0239504811907085
46.0,1.0239511230910823
47.0,1.0117888935572878
48.0,0.9939396504355266
49.0,1.0053540023953775
50.0,0.9841181821562653
51.0,0.9746774759543146
52.0,0.9642442486199304
53.0,0.9817195122636715
54.0,0.9339635191633873
55.0,0.8784117410531858
56.0,0.9137777910050021
57.0,0.9842172389994447
58.0,1.0634523572696528
59.0,1.1120385596712477
60.0,1.0694982826663078
61.0,1.0608341203500948
62.0,1.045604895761541
63.0,1.0360610640621102
64.0,1.0265094162325366
65.0,1.005123180432702
66.0,0.9983309449886977
67.0,0.9818466376701076
68.0,0.978985383949005
69.0,0.9886017353614648
70.0,0.961117997029084
71.0,0.9549291043100052
72.0,0.938710619106297
73.0,0.944129709424662
74.0,0.8957560160360221
75.0,0.9337019653166673
76.0,1.032029872618055
77.0,1.0632192598640509
78.0,1.1119570055187125
79.0,1.0516118318874539
80.0,1.0488450593935692
81.0,1.0070643369089023
82.0,1.0426991804716166
83.0,1.0161114808802258
84.0,0.9944190928568551
85.0,1.0007025212665444
86.0,1.0154743167799014
87.0,0.9927888688426667
88.0,0.9761478522182998
89.0,0.9860279049771966
90.0,0.9623582755545916
91.0,0.9485339820948592
92.0,0.8823467658827865
93.0,0.8962872660434843
94.0,0.9597924093690097
95.0,1.0319256474723157
96.0,1.0800461198325788
97.0,1.1052058148930706
98.0,1.1121520249256887
99.0,1.049603127236345
100.0,1.0184486454788153
101.0,1.031456169890836
102.0,1.0541833927534612
103.0,1.0104703657484597
104.0,1.0399191366783045
105.0,0.990032688288509
106.0,0.9641432333386849
107.0,0.9586849942521468
108.0,0.9579144435243923
109.0,0.9750511697858452
110.0,0.9452054029691928
111.0,0.914838965519082
112.0,0.9082537906072294
113.0,0.9335519783158499
114.0,1.0159035487077661
115.0,1.0767657116021014
116.0,1.0844539340917405
117.0,1.0647749253501502
118.0,1.0645981999730019
119.0,1.043064072101808
120.0,1.0407561431289978
