Name PL_distance PL_unc MS_distance MS_unc
Cheese-0.12734780487804878Pizza-12.30588292682927Galaxy 18812.99124981649 1457.1172530450958 96593.91727292107 125.15281016987723
Cheese-0.5590729881823298Pizza-15.085296567248172Galaxy 17547.473091897 1527.8098943789446 104671.96698886447 135.6192106553839
Cheese-0.656434251968504Pizza-5.261840748031496Galaxy 26333.855891258056 1934.2807239577273 166286.8188024303 215.45106829586584
Cheese-00.1Pizza-12.3Galaxy 18812.99124981649 1457.1172530450958 96593.91727292107 125.15281016987723
Cheese-00.6Pizza-15.1Galaxy 17547.473091897 1527.8098943789446 104671.96698886447 135.6192106553839
Cheese-00.7Pizza-05.3Galaxy 26333.855891258056 1934.2807239577273 166286.8188024303 215.45106829586584
Cheese-01.2Pizza-15.5Galaxy 17695.574428536842 1472.742751235476 124716.72727356547 161.59039134291936
Cheese-01.4Pizza-14.0Galaxy 24124.29074793225 2324.286991113607 174976.1743052422 226.70951282782661
Cheese-03.1Pizza-13.2Galaxy 16373.957500292454 1482.8579005341671 112912.14205557975 146.29567036430475
Cheese-04.8Pizza038.4Galaxy 28568.856651258888 2554.4309386248237 164509.0233963952 213.14765109058007
Cheese-05.1Pizza016.0Galaxy 3455.098525193707 1057.8632833502047 12031.51833684463 15.588748991429917
Cheese-06.4Pizza039.1Galaxy 22853.970179773434 1955.940685264395 92031.52188954926 119.24150002265817
Cheese-06.9Pizza038.2Galaxy 26779.444723315864 2310.401791734428 147515.31202536222 191.12959039539803
Cheese-07.6Pizza039.8Galaxy 16782.180887135957 1313.894142294144 89219.67050194125 115.59829853674157
Cheese-1.1957115Pizza-15.496042500000003Galaxy 17695.574428536842 1472.742751235476 124716.72727356547 161.59039134291936
Cheese-1.4086103626943005Pizza-13.992198963730571Galaxy 24124.29074793225 2324.286991113607 174976.1743052422 226.70951282782661
Cheese-10.686482959641253Pizza13.91357735426009Galaxy 12662.135307681332 1083.702022561415 80682.56655695448 104.53712015623744
Cheese-10.7Pizza013.9Galaxy 12662.135307681332 1083.702022561415 80682.56655695448 104.53712015623744
Cheese-11.851197228144988Pizza21.209498081023455Galaxy 15706.472732646062 1130.7493560169644 101320.93796980189 131.2774186405563
Cheese-11.9Pizza021.2Galaxy 15706.472732646062 1130.7493560169644 101320.93796980189 131.2774186405563
Cheese-12.822173903966597Pizza-22.771107933194152Galaxy 2319.90431037074 190.0388544442198 16091.496569407022 20.849097669474048
Cheese-12.8Pizza-22.8Galaxy 2319.90431037074 190.0388544442198 16091.496569407022 20.849097669474048
Cheese-13.18901991614256Pizza19.127789727463313Galaxy 6599.037365175411 1017.2597742766999 93709.86440198282 121.41606015841857
Cheese-13.2Pizza019.1Galaxy 6599.037365175411 1017.2597742766999 93709.86440198282 121.41606015841857
Cheese-13.759164220183486Pizza20.37149885321101Galaxy 20239.04520064894 1755.7397659442377 125264.77470888154 162.3004741159619
Cheese-13.8Pizza020.4Galaxy 20239.04520064894 1755.7397659442377 125264.77470888154 162.3004741159619
Cheese-14.280909868421054Pizza22.226178728070177Galaxy 15543.459037968996 1168.2626871519444 97310.0690946646 126.0806989596676
Cheese-14.359702714285714Pizza16.970898285714284Galaxy 30201.72985269403 2482.3860486669028 110361.59640429048 142.99103209372396
