Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
RightS105732 227.416 78.0619 3.871e-19 5.93e-19 1.031e-18 0.001 1.12 0
RightS105733 225.6914 78.7665 3.251e-18 4.076e-18 4.77e-18 0.001 0.33 0
RightS105734 225.6676 78.7485 1.974e-15 1.455e-15 5.768e-16 0.0 0.23 0
RightS105735 225.7241 78.7148 5.145e-16 4.118e-16 1.925e-16 0.001 0.26 0
RightS105736 225.6315 78.7214 1.027e-20 1.904e-20 5.084e-20 -0.0 0.27 0
RightS105737 227.6189 78.1669 1.323e-19 2.107e-19 3.939e-19 0.0 1.33 0
RightS105738 227.555 78.2269 2.959e-17 2.926e-17 2.057e-17 0.001 1.4 0
RightS105741 225.5443 78.5736 2.13e-16 4.022e-16 1.101e-15 0.001 0.22 0
RightS105742 227.6758 78.3124 2.454e-17 4.553e-17 1.184e-16 0.0 1.34 0
RightS105743 227.7211 78.3026 2.993e-17 2.971e-17 2.108e-17 0.001 1.33 0
RightS105744 227.6677 78.3532 9.822e-16 7.999e-16 3.798e-16 0.001 1.48 0
RightS105745 225.6562 78.4127 1.378e-15 1.072e-15 4.701e-16 0.0 0.24 1
RightS105746 227.7665 78.3615 7.383e-17 1.286e-16 2.948e-16 0.0 1.47 0
RightS105748 225.5342 78.3439 6.65e-15 4.754e-15 1.835e-15 -0.001 0.14 0
RightS105749 227.6519 78.5042 1.89e-16 3.067e-16 6.07e-16 0.001 1.54 0
RightS105750 227.8371 78.5536 2.89e-16 2.455e-16 1.286e-16 0.001 1.54 0
RightS105751 227.7572 78.5594 3.88e-12 3.321e-12 1.742e-12 0.001 1.61 1
RightS105752 225.5076 78.1852 2.028e-15 1.545e-15 6.392e-16 0.001 -0.04 1
RightS105753 225.4182 78.1863 1.165e-15 8.95e-16 3.784e-16 0.001 0.05 1
RightS105754 227.8028 78.6686 2.764e-16 2.382e-16 1.295e-16 0.001 1.61 0
RightS105755 225.6678 78.0726 1.273e-19 2.058e-19 4.102e-19 0.001 0.02 0
RightS105758 238.0662 77.3274 1.525e-20 2.913e-20 7.815000000000002e-20 -0.0 4.19 0
RightS105759 238.0733 77.288 1.287e-19 2.019e-19 3.686e-19 0.0 2.29 0
RightS105760 237.9348 77.2938 4.109e-17 3.695e-17 2.204e-17 0.0 2.76 0
RightS105762 238.0677 77.0207 2.4540000000000003e-20 4.4200000000000005e-20 1.072e-19 0.0 1.25 0
RightS105763 238.0709 77.3 1.845e-20 3.3080000000000005e-20 8.141000000000001e-20 0.0 2.81 0
