Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
RightS080295 271.0102 97.2933 7.482e-14 5.128e-14 1.797e-14 0.0 -49.52 0
RightS080300 271.0168 97.2731 1.445e-20 1.953e-20 2.69e-20 0.001 -49.77 0
RightS080301 270.9996 97.2769 1.791e-19 2.107e-19 2.143e-19 0.001 -50.04 0
RightS080304 270.9338 97.2806 1.55e-20 2.045e-20 2.552e-20 0.0 -51.21 0
RightS080305 271.0355 97.3365 1.86e-20 2.642e-20 3.862e-20 0.001 -48.34 0
RightS080307 271.0352 97.3019 3.983e-20 5.1380000000000005e-20 6.261e-20 0.0 -48.64 0
RightS080308 270.9914 97.2706 1.032e-19 1.197e-19 1.187e-19 0.0 -50.95 0
RightS080310 271.0064 97.2791 2.324e-19 2.493e-19 2.014e-19 0.0 -49.87 0
RightS080312 271.0125 97.3056 2.252e-18 1.924e-18 1.018e-18 0.001 -49.11 0
RightS080313 270.9736 97.2666 4.258e-14 2.859e-14 9.558e-15 -0.001 -50.67 0
RightS080314 271.0423 97.3465 4.224e-20 5.252e-20 5.792000000000001e-20 0.0 -48.28 0
RightS080315 271.0238 97.2894 1.762e-18 1.603e-18 9.639e-19 0.0 -49.13 0
RightS080316 271.007 97.3184 1.489e-19 1.813e-19 1.885e-19 0.001 -48.64 0
RightS080317 271.0128 97.2962 1.801e-17 1.438e-17 6.668e-18 -0.001 -49.42 0
RightS080318 271.0259 97.2665 1.301e-18 2.796e-18 9.601e-18 0.001 -49.76 0
RightS080320 271.0344 97.3179 3.256e-18 2.796e-18 1.452e-18 -0.0 -49.1 0
RightS080322 270.9869 97.2938 1.14e-18 1.1e-18 7.266e-19 0.0 -49.9 0
RightS080324 271.0199 97.3395 3.195e-18 5.081e-18 9.55e-18 0.0 -48.38 0
RightS080325 270.9943 97.3203 1.703e-18 1.632e-18 1.086e-18 0.0 -48.98 0
RightS080327 271.0278 97.3346 4.191e-18 9.229e-18 3.448e-17 0.001 -48.39 0
RightS080332 270.9813 97.2474 2.028e-17 1.528e-17 6.337e-18 -0.0 -51.11 1
RightS080334 271.0334 97.3332 1.137e-20 1.643e-20 2.602e-20 -0.0 -48.38 0
RightS080335 270.9789 97.2752 2.407e-20 3.285e-20 4.5780000000000006e-20 -0.0 -50.26 0
RightS080336 271.054 97.2679 6.211000000000001e-20 8.188000000000001e-20 1.037e-19 0.001 -48.53 0
RightS080337 271.061 97.3171 2.734e-17 2.143e-17 9.326e-18 0.001 -48.42 1
RightS080338 270.9687 97.3115 8.86e-19 1.634e-18 4.126e-18 -0.0 -49.85 0
RightS080340 270.9713 97.2963 6.829e-19 1.167e-18 2.609e-18 0.0 -50.27 0
RightS080341 271.0616 97.3109 1.248e-18 1.159e-18 7.304e-19 -0.0 -48.3 0
RightS080342 271.0386 97.3358 2.17e-20 2.947e-20 3.8320000000000006e-20 0.0 -48.29 0
RightS080345 271.052 97.3229 2.262e-20 2.952e-20 3.724e-20 0.0 -48.32 0
RightS080346 270.9445 97.2654 3.79e-18 7.591e-18 2.217e-17 -0.0 -50.93 0
RightS080347 270.998 97.2446 1.114e-17 9.09e-18 4.322e-18 0.001 -51.12 0
RightS080348 270.9797 97.3002 1.15e-19 1.286e-19 1.177e-19 0.001 -49.86 0
RightS080351 270.9503 97.252 4.767e-18 1.003e-17 3.478e-17 0.001 -51.27 0
RightS080353 270.9822 97.2826 3.951e-14 2.772e-14 9.693e-15 -0.0 -50.22 0
