Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
LeftS002168 113.8165 102.7401 7.866e-18 6.148e-18 2.703e-18 -0.0 -129.69 1
LeftS002169 113.9211 102.8467 1.529e-17 1.185e-17 4.948e-18 0.0 -129.29 1
LeftS002170 113.8046 102.7371 6.451e-17 4.661e-17 1.781e-17 0.0 -129.77 0
LeftS002171 113.8054 102.7433 4.353e-18 3.549e-18 1.688e-18 0.0 -129.74 0
LeftS002172 113.8046 102.7476 3.122e-17 2.255e-17 8.614e-18 0.001 -129.9 0
LeftS002173 113.9318 102.8372 6.604e-17 4.638e-17 1.719e-17 -0.0 -129.13 0
LeftS002174 113.9369 102.84 4.055e-17 3.078e-17 1.243e-17 -0.001 -129.21 0
LeftS002175 113.9452 102.8379 6.638e-18 5.423e-18 2.594e-18 0.0 -129.14 0
LeftS002176 113.9499 102.8412 4.507e-18 3.697e-18 1.788e-18 -0.0 -129.12 0
LeftS002177 113.9512 102.8351 2.599e-17 1.981e-17 8.557e-18 -0.0 -129.06 1
LeftS002178 113.7829 102.7563 1.38e-14 9.337e-15 3.059e-15 -0.0 -130.02 0
LeftS002179 113.7765 102.7637 1.954e-18 1.718e-18 9.391e-19 -0.0 -130.01 0
LeftS002180 113.7818 102.7627 7.332e-18 6.196e-18 3.127e-18 0.0 -129.98 0
LeftS002181 113.771 102.7622 8.074e-19 1.277e-18 2.44e-18 -0.0 -130.08 0
LeftS002182 113.967 102.8158 1.978e-18 1.703e-18 8.956e-19 -0.0 -128.88 0
LeftS002183 113.9403 102.7489 3.061e-14 2.144e-14 7.646e-15 -0.001 -128.59 0
LeftS002185 113.7957 102.8431 8.745e-20 9.378e-20 7.712e-20 -0.001 -130.49 0
LeftS002186 113.9391 102.749 8.354e-14 6.837e-14 3.386e-14 0.0 -128.64 1
LeftS002187 113.8015 102.8396 4.772e-17 3.508e-17 1.357e-17 0.0 -130.55 0
LeftS002189 113.7989 102.8454 3.906e-19 3.847e-19 2.69e-19 -0.0 -130.57 0
LeftS002190 113.9439 102.7422 1.29e-18 2.738e-18 9.724e-18 -0.001 -128.57 0
LeftS002191 113.7991 102.846 4.904e-20 5.811000000000001e-20 5.95e-20 -0.0 -130.4 0
LeftS002193 113.8017 102.8469 6.160000000000001e-20 6.995000000000001e-20 6.564000000000001e-20 0.0 -130.41 0
LeftS002195 113.7989 102.8473 2.442e-19 2.356e-19 1.595e-19 -0.0 -130.48 0
LeftS002196 113.9394 102.7375 4.25e-19 7.045e-19 1.441e-18 -0.0 -128.63 0
LeftS002198 113.9284 102.7416 1.698e-18 2.686e-18 5.057e-18 0.0 -128.69 0
LeftS002199 113.9373 102.7345 6.004e-18 4.718e-18 2.187e-18 -0.0 -128.67 0
LeftS002200 113.9374 102.7416 1.417e-18 1.355e-18 8.873e-19 0.001 -128.57 0
LeftS002202 113.9305 102.7351 8.203e-19 7.527e-19 4.561e-19 -0.0 -128.63 0
LeftS002204 113.8112 102.8498 1.62e-18 2.454e-18 4.155e-18 0.0 -130.36 0
LeftS002205 113.7968 102.8578 3.139e-18 2.858e-18 1.641e-18 0.0 -130.39 0
LeftS002206 113.9228 102.734 3.965e-17 2.925e-17 1.173e-17 -0.0 -128.74 0
LeftS002208 113.9246 102.7303 2.283e-17 1.805e-17 8.093e-18 0.001 -128.75 0
LeftS002209 113.8103 102.8564 8.250000000000002e-20 9.048e-20 7.912000000000001e-20 0.001 -130.36 0
LeftS002210 113.9248 102.734 1.461e-19 1.519e-19 1.151e-19 0.0 -128.71 0
LeftS002211 113.9223 102.7309 4.331e-19 4.135e-19 2.741e-19 0.0 -128.73 0
LeftS002214 113.9208 102.7279 7.033e-19 1.514e-18 5.285e-18 -0.0 -128.89 0
LeftS002215 113.8182 102.8587 1.349e-16 9.363e-17 3.249e-17 0.0 -130.25 0
LeftS002216 113.921 102.7253 1.792e-19 1.838e-19 1.422e-19 0.0 -128.72 0
LeftS002217 113.9111 102.7313 3.178e-19 3.337e-19 2.622e-19 -0.0 -128.88 0
LeftS002218 113.8173 102.8602 3.843e-19 6.667e-19 1.483e-18 0.0 -130.28 0
LeftS002219 113.9143 102.7248 2.161e-17 1.553e-17 5.713e-18 0.001 -128.82 0
LeftS002220 113.9014 102.7356 1.513e-18 1.319e-18 7.387e-19 0.001 -128.94 0
LeftS002221 113.9025 102.7272 1.553e-18 1.421e-18 8.432e-19 -0.0 -128.89 0
LeftS002222 113.824 102.8675 1.645e-18 1.387e-18 7.048e-19 0.0 -130.14 0
LeftS002223 113.8261 102.8625 5.581e-19 1.212e-18 4.321e-18 0.001 -130.13 0
LeftS002227 113.8488 102.8633 1.314e-18 2.684e-18 8.304e-18 0.0 -129.99 0
LeftS002228 113.8861 102.731 5.278e-18 4.6e-18 2.572e-18 0.0 -129.11 0
LeftS002229 113.8406 102.8574 1.749e-17 1.269e-17 4.874e-18 -0.0 -130.03 0
LeftS002230 113.895 102.7204 2.12e-18 3.702e-18 8.808e-18 0.001 -128.99 0
LeftS002232 113.8457 102.8651 1.18e-20 1.563e-20 2.087e-20 -0.0 -130.03 0
LeftS002234 113.8551 102.862 7.581e-18 5.944e-18 2.64e-18 -0.0 -129.96 1
LeftS002237 113.8587 102.8625 7.404e-18 5.893e-18 2.708e-18 -0.0 -129.84 1
LeftS002238 113.8537 102.8571 6.809e-18 5.556e-18 2.691e-18 0.0 -129.98 0
LeftS002239 113.878 102.7321 1.99e-18 1.753e-18 9.815e-19 0.0 -129.21 0
LeftS002240 113.8626 102.8669 2.998e-18 2.449e-18 1.149e-18 -0.0 -129.82 0
LeftS002241 113.8691 102.7312 3.9780000000000005e-20 4.5720000000000005e-20 4.333e-20 0.0 -129.22 0
LeftS002242 113.869 102.7266 3.728e-19 3.605e-19 2.445e-19 -0.001 -129.17 0
LeftS002243 113.8757 102.8666 5.057e-19 4.641e-19 2.844e-19 -0.001 -129.76 0
LeftS002244 113.8579 102.729 3.087e-14 2.151e-14 7.713e-15 0.0 -129.37 0
LeftS002245 113.8781 102.8584 1.222e-18 2.392e-18 6.924e-18 0.001 -129.73 0
LeftS002246 113.8749 102.8551 3.243e-16 2.171e-16 7.302e-17 -0.0 -129.73 0
LeftS002248 113.8442 102.7297 1.321e-18 1.193e-18 7.229e-19 0.0 -129.43 0
LeftS002249 113.8473 102.7308 9.181000000000001e-20 9.783e-20 7.940000000000001e-20 0.001 -129.45 0
LeftS002251 113.9002 102.8615 1.844e-19 1.959e-19 1.611e-19 0.001 -129.57 0
LeftS002252 113.8948 102.8563 6.731e-19 6.225e-19 3.813e-19 -0.001 -129.54 0
LeftS002253 113.9038 102.8563 1.712e-20 2.191e-20 2.5440000000000003e-20 0.0 -129.45 0
LeftS002255 113.9016 102.8497 5.959e-19 5.706e-19 3.612e-19 -0.0 -129.49 0
LeftS002256 113.8256 102.7395 2.296e-18 3.816e-18 7.962e-18 0.001 -129.7 0
LeftS002257 113.8279 102.7394 6.575e-18 5.353e-18 2.591e-18 -0.0 -129.58 0
LeftS002258 113.9131 102.8482 1.7760000000000002e-20 2.202e-20 2.515e-20 -0.0 -129.32 0
LeftS002259 113.8185 102.7439 7.462e-18 5.889e-18 2.758e-18 -0.0 -129.73 0
LeftS002260 113.9187 102.8442 2.963e-17 2.183e-17 8.543e-18 0.001 -129.37 0
LeftS002263 113.9268 102.8397 3.034e-19 2.978e-19 2.154e-19 -0.001 -129.21 0
LeftS002265 113.7997 102.7481 1.2720000000000002e-20 1.645e-20 1.965e-20 -0.0 -129.8 0
LeftS002267 113.9443 102.8397 1.837e-17 1.372e-17 5.552e-18 -0.0 -129.09 0
LeftS002268 113.7894 102.7558 3.451e-20 4.465e-20 5.3360000000000007e-20 -0.001 -129.98 0
LeftS002269 113.7923 102.7598 5.32e-19 5.314e-19 3.86e-19 -0.0 -130.05 0
