Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
LeftS088337 90.7186 105.747 1.617e-18 1.543e-18 9.907e-19 -0.0 -71.53 0
LeftS088339 90.4881 105.7445 2.285e-18 4.092e-18 9.775e-18 0.0 -69.14 0
LeftS088340 90.715 105.752 2.284e-17 1.807e-17 8.067e-18 0.0 -71.49 1
LeftS088342 90.4846 105.7453 8.063e-18 7.378e-18 4.435e-18 -0.0 -69.29 0
LeftS088343 90.7193 105.7531 2.599e-18 5.819e-18 2.248e-17 -0.0 -71.38 0
LeftS088344 90.4915 105.7431 7.956e-19 8.025e-19 5.972e-19 -0.0 -69.31 0
LeftS088346 90.7014 105.7546 1.621e-19 1.912e-19 1.894e-19 -0.0 -71.23 0
LeftS088348 90.6992 105.7611 7.65e-18 1.453e-17 4.088e-17 -0.0 -71.23 0
LeftS088349 90.6966 105.7576 1.975e-18 3.11e-18 5.741e-18 0.0 -71.11 0
LeftS088350 90.691 105.759 4.873e-19 5.239e-19 4.329e-19 0.001 -71.12 0
LeftS088351 90.6868 105.7573 3.235e-19 3.532e-19 3.039e-19 0.0 -71.05 0
LeftS088352 90.6861 105.7626 2.128e-16 1.478e-16 5.212e-17 -0.0 -71.03 0
LeftS088353 90.6828 105.7554 9.517e-18 1.529e-17 2.99e-17 -0.0 -71.15 0
LeftS088355 90.523 105.7333 1.476e-18 2.839e-18 8.154e-18 0.001 -69.67 0
LeftS088356 90.6773 105.7631 1.452e-18 1.408e-18 9.816e-19 -0.0 -70.91 0
LeftS088357 90.529 105.7347 3.891e-18 3.517e-18 2.064e-18 0.001 -69.74 0
LeftS088359 90.6694 105.7664 8.611e-18 2.113e-17 9.599e-17 -0.0 -70.85 0
LeftS088360 90.6604 105.763 3.935e-18 8.544e-18 3.146e-17 0.001 -70.78 0
LeftS088361 90.5486 105.7374 1.295e-20 1.89e-20 2.9770000000000005e-20 -0.001 -69.85 0
LeftS088362 90.5554 105.7336 6.788e-18 5.997e-18 3.298e-18 -0.0 -69.93 0
LeftS088363 90.5579 105.733 8.813e-17 6.359e-17 2.352e-17 0.001 -69.96 0
LeftS088364 90.6441 105.7658 3.723e-18 3.231e-18 1.78e-18 -0.0 -70.65 0
LeftS088365 90.6376 105.7663 2.168e-19 2.312e-19 1.914e-19 -0.0 -70.6 0
LeftS088366 90.5691 105.7308 9.385e-19 9.65e-19 7.337e-19 -0.0 -70.03 0
LeftS088367 90.6282 105.7696 2.592e-18 5.153e-18 1.523e-17 -0.001 -70.5 0
LeftS088369 90.583 105.7296 1.1460000000000002e-20 1.6860000000000002e-20 2.828e-20 0.001 -70.17 0
LeftS088370 90.5901 105.7315 7.013e-19 7.279e-19 5.721e-19 0.0 -70.21 0
LeftS088371 90.6096 105.7719 2.775e-18 5.079e-18 1.283e-17 -0.0 -70.33 0
LeftS088373 90.5998 105.7725 2.055e-18 3.189e-18 5.955e-18 0.0 -70.3 0
LeftS088375 90.6118 105.7228 2.38e-18 2.231e-18 1.394e-18 -0.001 -70.39 0
LeftS088376 90.62 105.7294 9.613e-16 6.833e-16 2.468e-16 -0.0 -70.52 0
LeftS088378 90.5719 105.7719 1.307e-18 1.837e-18 2.721e-18 -0.001 -70.07 0
LeftS088379 90.5668 105.7724 1.876e-17 1.512e-17 6.995e-18 -0.0 -70.01 0
LeftS088381 90.6447 105.7245 8.101e-17 6.163e-17 2.511e-17 0.0 -70.63 0
LeftS088382 90.5551 105.7739 1.836e-17 4.819e-17 2.586e-16 0.0 -69.97 0
LeftS088383 90.5572 105.7766 8.963e-19 8.661e-19 6.109e-19 0.0 -69.99 0
LeftS088384 90.5407 105.7761 6.708e-18 5.576e-18 2.795e-18 -0.0 -69.83 0
LeftS088385 90.6789 105.7176 1.298e-17 1.032e-17 4.851e-18 0.0 -70.83 0
LeftS088386 90.5434 105.7718 1.583e-17 1.308e-17 6.557e-18 0.0 -69.87 0
LeftS088387 90.689 105.7217 1.373e-19 1.688e-19 1.852e-19 0.0 -70.87 0
LeftS088388 90.5258 105.7764 5.236e-18 1.019e-17 2.993e-17 0.0 -69.7 0
LeftS088389 90.6894 105.7226 4.442e-17 3.249e-17 1.241e-17 -0.0 -70.98 0
LeftS088390 90.4851 105.7733 1.575e-17 1.276e-17 6.115e-18 0.0 -69.55 0
LeftS088392 90.506 105.7738 9.053e-17 6.854e-17 2.89e-17 -0.0 -69.66 0
LeftS088393 90.5088 105.777 9.056e-20 1.065e-19 1.078e-19 0.0 -69.71 0
LeftS088394 90.7197 105.7151 1.456e-17 1.192e-17 5.826e-18 -0.0 -71.02 0
LeftS088395 90.4869 105.782 2.777e-18 2.658e-18 1.754e-18 0.0 -69.6 0
LeftS088396 90.4762 105.774 1.062e-18 1.013e-18 6.925e-19 0.001 -69.45 0
LeftS088397 90.465 105.7777 2.828e-18 2.451e-18 1.381e-18 0.0 -69.48 0
LeftS088398 90.4806 105.7765 1.202e-17 2.007e-17 4.076e-17 0.0 -69.5 0
LeftS088399 90.7302 105.7261 8.055e-18 6.939e-18 3.778e-18 0.0 -71.2 0
LeftS088400 90.4627 105.7778 3.669e-17 2.959e-17 1.393e-17 0.001 -69.39 0
LeftS088401 90.723 105.7248 1.805e-20 2.5440000000000003e-20 3.786e-20 -0.001 -71.19 0
LeftS088402 90.4528 105.7752 2.877e-19 3.194e-19 2.742e-19 0.0 -69.35 0
LeftS088403 90.7527 105.724 7.061e-19 6.882e-19 4.534e-19 0.0 -71.28 0
LeftS088405 90.4474 105.7739 5.784e-19 5.884e-19 4.44e-19 0.001 -69.28 0
LeftS088406 90.4426 105.778 6.601e-18 5.657e-18 2.947e-18 0.0 -69.28 0
LeftS088407 90.8012 105.7179 2.748e-18 5.664e-18 1.815e-17 -0.0 -71.38 0
LeftS088409 90.4295 105.7774 1.865e-18 2.916e-18 5.297e-18 0.0 -69.2 0
