Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
TopS045123 269.5755 29.5901 1.63e-19 1.82e-19 1.589e-19 0.0 -88.32 0
TopS045124 269.6122 29.4668 3.012e-19 3.058e-19 2.258e-19 0.0 -88.48 0
TopS045125 269.8474 29.3898 1.084e-19 1.252e-19 1.161e-19 0.0 -88.6 0
TopS045129 269.577 29.4265 1.8540000000000003e-20 2.191e-20 2.2820000000000003e-20 -0.001 -89.05 0
TopS045131 269.4147 29.3031 2.929e-19 4.82e-19 1.002e-18 0.0 -89.54 0
TopS045132 269.3579 29.3954 1.164e-18 1.027e-18 5.684e-19 0.001 -89.02 0
TopS045133 269.519 29.5327 1.298e-20 1.777e-20 2.5550000000000003e-20 -0.001 -88.53 0
TopS045134 269.296 29.3091 4.926e-14 4.116e-14 2.1e-14 -0.001 -89.55 1
TopS045137 269.6691 29.3953 3.6870000000000006e-20 4.3840000000000006e-20 4.3090000000000005e-20 -0.0 -88.28 0
TopS045140 269.808 29.4948 1.091e-20 1.414e-20 1.6690000000000002e-20 -0.0 -88.49 0
TopS045148 269.421 29.3686 1.684e-18 1.434e-18 7.713e-19 -0.0 -88.38 0
TopS045150 269.5064 29.3261 1.7330000000000003e-20 2.1230000000000003e-20 2.393e-20 -0.001 -88.82 0
TopS045158 269.5163 29.2539 1.583e-20 1.981e-20 2.3200000000000003e-20 0.001 -88.74 0
TopS045161 269.4478 29.381 1.052e-18 9.696e-19 5.955e-19 -0.001 -89.65 0
TopS045164 269.7078 29.5697 1.531e-18 1.395e-18 8.405e-19 -0.0 -88.3 0
TopS045166 269.4162 29.3358 9.339e-20 1.053e-19 9.614000000000001e-20 0.0 -88.82 0
TopS045169 269.7274 29.4094 2.856e-20 3.403e-20 3.527e-20 0.0 -88.42 0
TopS045170 269.7579 29.4113 3.183e-18 6.049e-18 1.678e-17 0.0 -89.36 0
TopS045171 269.6133 29.5502 1.022e-18 9.204e-19 5.196e-19 0.001 -89.05 0
TopS045174 269.5904 29.4559 1.167e-20 1.569e-20 2.087e-20 0.001 -89.03 0
TopS045176 269.8496 29.4523 1.255e-18 1.091e-18 6.022e-19 -0.0 -89.08 0
TopS045178 269.5584 29.386 1.348e-19 1.496e-19 1.321e-19 0.001 -89.75 0
TopS045183 269.9147 29.2956 1.651e-18 1.576e-18 1.007e-18 0.0 -89.63 0
TopS045188 269.6208 29.3097 2.291e-19 2.381e-19 1.896e-19 0.0 -88.88 0
TopS045191 269.5725 29.3245 5.1310000000000005e-20 6.115000000000001e-20 6.244000000000001e-20 -0.0 -89.95 0
TopS045193 269.6549 29.5533 1.043e-18 1.668e-18 3.228e-18 -0.001 -89.09 0
TopS045197 269.4905 29.5307 2.329e-19 2.376e-19 1.806e-19 0.001 -89.19 0
TopS045198 269.6275 29.3326 2.815e-19 2.973e-19 2.331e-19 0.0 -89.53 0
TopS045199 269.7073 29.3948 1.173e-14 7.956e-15 2.777e-15 0.0 -89.46 0
TopS045204 269.7888 29.4294 1.309e-20 1.67e-20 2.001e-20 0.0 -89.64 0
TopS045220 269.6989 29.4819 3.71e-20 4.562e-20 4.9500000000000006e-20 0.0 -89.16 0
TopS045230 269.636 29.4144 9.07e-20 1.037e-19 1.009e-19 0.001 -89.18 0
TopS045231 269.4144 29.4055 8.1e-18 6.384e-18 2.897e-18 0.001 -88.7 0
TopS045233 269.4946 29.4382 1.156e-20 1.59e-20 2.28e-20 0.0 -88.34 0
TopS045236 269.6486 29.3963 2.255e-20 2.884e-20 3.442e-20 0.001 -88.27 0
TopS045243 269.5171 29.4451 4.8740000000000006e-20 5.537000000000001e-20 5.34e-20 0.001 -89.72 0
TopS045247 269.7832 29.5182 1.35e-20 1.7680000000000003e-20 2.25e-20 -0.0 -89.31 0
TopS045249 269.5272 29.4535 2.166e-20 2.794e-20 3.353e-20 -0.0 -88.59 0
TopS045264 269.6167 29.423 1.022e-18 2.219e-18 8.253e-18 -0.0 -88.42 0
TopS045267 269.5704 29.4498 1.097e-19 1.242e-19 1.146e-19 -0.0 -88.87 0
TopS045268 269.775 29.3869 5.679e-20 7.096e-20 8.169000000000001e-20 0.001 -89.2 0
TopS045273 269.5469 29.4357 1.172e-20 1.5400000000000003e-20 1.977e-20 -0.0 -88.39 0
TopS045274 269.6204 29.4429 1.613e-18 3.124e-18 8.765e-18 -0.0 -89.3 0
TopS045275 269.7027 29.4422 5.92e-14 5.24e-14 2.991e-14 -0.001 -89.7 1
TopS045279 269.5693 29.4004 1.784e-20 2.377e-20 2.96e-20 -0.0 -89.45 0
TopS045280 269.5591 29.3323 7.475e-14 6.873e-14 4.333e-14 -0.001 -89.0 1
TopS045282 269.8508 29.3836 8.117e-19 1.712e-18 5.984e-18 0.001 -88.52 0
TopS045283 269.3149 29.3463 4.686e-18 3.865e-18 1.874e-18 -0.001 -88.75 0
TopS045284 269.3929 29.3928 3.621e-14 2.551e-14 9.397e-15 0.001 -89.57 0
TopS045285 269.5956 29.4759 9.172e-20 9.618e-20 7.820000000000001e-20 0.001 -88.72 0
TopS045286 269.4418 29.2892 2.552e-18 4.002e-18 7.299e-18 0.001 -88.99 0
TopS045289 269.7839 29.3439 8.114e-20 9.148e-20 8.297000000000001e-20 0.001 -89.42 0
TopS045290 269.5751 29.3673 1.664e-18 1.452e-18 7.864e-19 -0.0 -89.26 0
TopS045291 269.43 29.4132 6.305e-19 6.275e-19 4.376e-19 -0.0 -88.97 0
TopS045294 269.7784 29.4119 7.873e-20 8.990000000000001e-20 8.485000000000001e-20 -0.0 -88.65 0
TopS045305 269.4696 29.3142 3.846e-19 3.745e-19 2.468e-19 0.0 -88.37 0
TopS045312 269.6126 29.4485 1.839e-19 1.935e-19 1.545e-19 0.001 -89.46 0
TopS045313 269.7187 29.599 4.948e-19 4.997e-19 3.59e-19 -0.0 -89.75 0
TopS045318 269.5708 29.4085 2.761e-18 4.588e-18 9.205e-18 0.001 -89.47 0
TopS045320 269.7956 29.4873 5.4200000000000006e-20 6.379000000000001e-20 6.276e-20 -0.0 -89.8 0
TopS045326 269.6225 29.5524 2.593e-19 2.563e-19 1.783e-19 0.0 -88.46 0
TopS045327 269.7501 29.5296 1.955e-19 2.053e-19 1.614e-19 0.0 -88.41 0
TopS045331 269.6486 29.5431 1.819e-20 2.5240000000000003e-20 3.5440000000000004e-20 0.0 -88.46 0
TopS045332 269.3274 29.3306 1.144e-20 1.487e-20 1.8300000000000003e-20 0.0 -88.83 0
TopS045333 269.5581 29.4927 6.308e-20 7.100000000000001e-20 6.447000000000001e-20 0.0 -89.17 0
TopS045335 269.7302 29.3405 1.361e-19 1.394e-19 1.081e-19 0.0 -89.21 0
TopS045336 269.5693 29.3722 1.033e-20 1.452e-20 2.0750000000000003e-20 0.001 -88.56 0
TopS045337 269.4241 29.489 1.162e-19 1.378e-19 1.454e-19 -0.0 -89.86 0
TopS045342 269.2943 29.493 3.1790000000000003e-20 3.788e-20 3.982e-20 0.0 -89.65 0
TopS045346 269.6 29.5092 1.404e-20 2.019e-20 3.0940000000000005e-20 -0.0 -89.48 0
TopS045351 269.6447 29.3663 7.127e-20 7.954000000000001e-20 7.131e-20 0.0 -89.21 0
TopS045356 269.6033 29.4187 4.518e-20 5.535000000000001e-20 6.252e-20 -0.001 -87.74 0
TopS045359 269.4428 29.3033 4.593e-20 5.293e-20 4.969e-20 -0.001 -88.25 0
TopS045360 269.5672 29.3045 2.034e-19 2.104e-19 1.611e-19 -0.001 -88.18 0
TopS045361 269.8064 29.315 3.698e-19 3.79e-19 2.823e-19 -0.0 -89.7 0
TopS045365 269.8141 29.435 6.586e-20 7.156000000000001e-20 6.232000000000001e-20 -0.0 -88.72 0
TopS045366 269.3095 29.401 2.226e-20 2.824e-20 3.375e-20 0.0 -88.53 0
TopS045367 269.7109 29.3885 1.186e-20 1.5440000000000002e-20 1.932e-20 -0.0 -89.8 0
TopS045371 269.5108 29.2884 8.942e-20 1.056e-19 1.076e-19 -0.0 -89.79 0
TopS045374 269.7214 29.5231 1.104e-19 1.191e-19 9.819e-20 -0.0 -88.71 0
TopS045375 269.6498 29.4481 8.544e-19 1.331e-18 2.408e-18 0.0 -88.67 0
TopS045376 269.4563 29.5303 7.711e-20 8.79e-20 8.083e-20 -0.0 -88.9 0
TopS045380 269.8728 29.4035 7.456e-14 5.499e-14 2.133e-14 -0.0 -89.46 0
TopS045388 269.7074 29.442 6.048e-19 5.958e-19 4.209e-19 -0.0 -89.64 0
TopS045390 269.707 29.3117 7.503e-20 8.975000000000002e-20 9.338000000000001e-20 0.0 -89.68 0
TopS045393 269.8116 29.436 3.203e-18 2.856e-18 1.552e-18 -0.0 -89.77 0
TopS045398 269.4674 29.4009 1.865e-19 1.946e-19 1.554e-19 -0.0 -88.39 0
TopS045401 269.6027 29.3252 4.836e-14 5.173e-14 4.271e-14 0.001 -88.87 1
TopS045402 269.4743 29.3089 1.084e-18 1.606e-18 2.641e-18 0.001 -89.39 0
TopS045406 269.4092 29.3467 7.133e-19 6.445e-19 3.82e-19 0.0 -89.03 0
TopS045411 269.5178 29.354 3.397e-20 4.0460000000000006e-20 4.179e-20 0.0 -88.6 0
TopS045414 269.884 29.4867 5.866e-20 6.624e-20 5.953e-20 0.0 -88.2 0
TopS045417 269.7748 29.3567 3.899e-18 3.206e-18 1.588e-18 0.0 -88.58 0
TopS045422 269.4483 29.3464 1.5750000000000002e-20 1.983e-20 2.2200000000000003e-20 0.0 -89.65 0
TopS045423 269.5594 29.2787 1.57e-20 1.9710000000000003e-20 2.338e-20 -0.0 -88.27 0
TopS045426 269.5795 29.4252 6.836e-19 1.306e-18 3.58e-18 -0.0 -89.18 0
TopS045427 269.3651 29.4203 4.8940000000000007e-20 5.718e-20 5.605000000000001e-20 0.0 -88.63 0
TopS045430 269.6252 29.5371 6.236e-20 7.242000000000001e-20 7.234e-20 0.0 -89.84 0
TopS045434 269.4919 29.2609 9.107e-19 8.308e-19 4.988e-19 -0.0 -89.57 0
TopS045437 269.4942 29.374 1.154e-13 9.753e-14 4.956e-14 -0.001 -89.64 1
TopS045440 269.6413 29.5156 3.34e-18 2.797e-18 1.404e-18 0.001 -89.67 0
TopS045448 269.6275 29.3613 8.801e-19 8.11e-19 4.976e-19 0.0 -89.58 0
TopS045454 269.432 29.4233 1.021e-20 1.4e-20 1.92e-20 0.0 -89.68 0
TopS045456 269.6513 29.496 2.7490000000000005e-20 3.333e-20 3.5590000000000003e-20 -0.0 -89.67 0
