Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
LeftS086442 89.0404 108.5231 1.19e-16 8.667e-17 3.369e-17 0.0 -75.94 0
LeftS086443 89.2095 108.8446 4.418e-18 7.765e-18 1.843e-17 0.001 -73.73 0
LeftS086444 89.2015 108.8402 8.272e-19 8.195e-19 5.704e-19 0.0 -73.78 0
LeftS086445 89.1975 108.8347 1.225e-17 1.01e-17 4.995e-18 -0.0 -73.82 0
LeftS086446 89.0499 108.5058 2.17e-16 1.633e-16 6.822e-17 -0.001 -75.92 0
LeftS086447 89.0561 108.4964 1.457e-19 1.653e-19 1.52e-19 -0.0 -76.06 0
LeftS086448 89.184 108.8508 1.882e-18 3.099e-18 6.354e-18 0.0 -73.77 0
LeftS086449 89.1854 108.8603 1.268e-16 9.228e-17 3.673e-17 -0.0 -73.92 0
LeftS086450 89.0704 108.4985 1.616e-19 1.885e-19 1.86e-19 0.001 -75.98 0
LeftS086451 89.0743 108.4983 6.609e-16 4.458e-16 1.517e-16 0.001 -75.93 0
LeftS086452 89.0789 108.4818 1.656e-13 1.186e-13 4.559e-14 0.001 -75.89 0
LeftS086453 89.0836 108.486 9.299e-17 6.834e-17 2.646e-17 -0.0 -75.92 0
LeftS086454 89.1168 108.6847 1.252e-19 1.413e-19 1.318e-19 -0.001 -74.49 0
LeftS086455 89.1343 108.6642 7.173e-17 5.657e-17 2.635e-17 0.0 -75.25 0
LeftS086456 89.112 108.6896 2.879e-20 3.704e-20 4.3980000000000006e-20 0.0 -74.47 0
LeftS086457 89.1318 108.6637 2.197e-19 2.444e-19 2.171e-19 0.0 -75.26 0
LeftS086458 89.1126 108.6871 3.756e-19 4.033e-19 3.308e-19 0.001 -74.54 0
LeftS086459 89.1344 108.6656 8.596e-19 8.814e-19 6.557e-19 0.0 -75.11 0
LeftS086461 89.1084 108.6862 1.798e-18 1.703e-18 1.126e-18 -0.001 -74.64 0
LeftS086462 89.1094 108.6853 2.184e-17 1.809e-17 8.835e-18 0.0 -74.71 0
LeftS086463 89.111 108.6852 1.07e-17 9.04e-18 4.622e-18 -0.0 -74.7 0
LeftS086464 89.1411 108.6671 2.897e-18 5.051e-18 1.124e-17 -0.0 -74.96 0
LeftS086465 89.143 108.6668 1.311e-16 9.389e-17 3.523e-17 -0.0 -75.03 0
LeftS086467 89.1032 108.6839 1.373e-18 1.304e-18 8.498e-19 -0.0 -74.78 0
LeftS086468 89.1446 108.6701 3.495e-17 2.742e-17 1.246e-17 0.0 -74.82 1
LeftS086469 89.0995 108.6795 3.669e-18 5.268e-18 8.362e-18 -0.0 -75.05 0
LeftS086470 89.1499 108.6699 7.49e-18 6.166e-18 3.065e-18 0.001 -74.82 0
LeftS086471 89.1521 108.6724 9.19e-19 9.306e-19 6.95e-19 0.001 -74.57 0
LeftS086472 89.149 108.6735 4.521e-18 3.892e-18 2.036e-18 -0.0 -74.62 0
LeftS086473 89.0976 108.6762 8.159e-18 6.979e-18 3.83e-18 0.0 -75.12 0
LeftS086475 89.0943 108.6746 7.858e-18 6.192e-18 2.776e-18 -0.0 -75.17 0
LeftS086476 89.1565 108.6793 1.316e-17 1.065e-17 4.919e-18 -0.0 -74.33 0
LeftS086477 89.0926 108.6723 2.288e-17 1.771e-17 7.868e-18 -0.0 -75.35 1
LeftS086479 89.1587 108.6817 6.643e-20 8.104e-20 8.774000000000001e-20 -0.0 -74.34 0
LeftS086480 89.1577 108.6838 2.049e-17 1.643e-17 7.565e-18 -0.0 -74.31 0
LeftS086481 89.0898 108.6648 5.343e-17 3.936e-17 1.601e-17 -0.0 -75.57 0
