Name Equat Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
RightS060791 247.1507 69.5586 2.407e-16 1.715e-16 6.414e-17 -0.0 -81.42 0
RightS060792 247.1463 69.5584 2.573e-16 1.835e-16 7.027e-17 -0.0 -81.46 0
RightS060793 247.1445 69.5554 4.87e-17 3.994e-17 1.933e-17 0.0 -81.49 0
RightS060794 247.1968 69.5274 3.347e-17 2.74e-17 1.315e-17 -0.0 -82.41 0
RightS060795 247.1443 69.5531 5.544e-17 4.453e-17 2.042e-17 -0.0 -81.6 0
RightS060796 247.2011 69.5309 1.358e-14 2.082e-14 3.738e-14 0.0 -82.28 0
RightS060797 247.1395 69.5495 2.19e-15 1.479e-15 4.998e-16 -0.0 -81.64 0
RightS060798 247.202 69.5356 8.439e-16 5.902e-16 2.112e-16 0.0 -82.31 0
RightS060799 247.207 69.5378 7.676e-16 5.307e-16 1.869e-16 0.001 -82.13 0
RightS060800 247.1308 69.5419 6.165e-16 4.373e-16 1.611e-16 -0.001 -81.74 0
RightS060801 247.2099 69.5441 1.803e-16 1.311e-16 5.198e-17 -0.0 -81.99 0
RightS060802 247.1267 69.5356 2.142e-17 1.787e-17 9.132e-18 -0.001 -81.94 0
RightS060803 247.129 69.5311 4.313e-17 3.315e-17 1.463e-17 0.0 -82.03 1
RightS060804 247.1275 69.527 1.118e-16 8.36e-17 3.478e-17 -0.001 -82.09 1
RightS060805 247.2137 69.5583 1.735e-15 1.134e-15 3.513e-16 -0.001 -81.77 0
RightS060806 247.211 69.565 3.462e-16 2.444e-16 9.122e-17 0.0 -81.73 0
RightS060807 247.2087 69.5666 7.096e-16 4.856e-16 1.701e-16 0.0 -81.63 0
RightS060808 247.1293 69.51 9.164e-19 1.003e-18 8.855e-19 0.0 -82.49 0
RightS060809 247.208 69.5794 9.453e-16 6.488e-16 2.268e-16 -0.0 -81.51 0
RightS060810 247.2058 69.5787 9.876e-17 7.125e-17 2.795e-17 0.001 -81.43 0
RightS060811 247.133 69.4987 8.245e-19 8.508e-19 6.414e-19 0.0 -82.5 0
RightS060812 247.1384 69.497 4.025e-17 3.334e-17 1.619e-17 0.0 -82.64 0
RightS060813 247.2 69.596 2.045e-16 1.519e-16 5.993e-17 0.0 -81.14 0
RightS060814 247.1961 69.602 1.074e-14 6.908e-15 2.16e-15 -0.0 -81.29 0
